카테고리,총 빈도,역량 수
데이터 & 분석 기술,30,12
프로그래밍 & 도구,29,10
비즈니스 & 경영,28,12
AI & 머신러닝,14,5
실무 & 응용,12,4
협업 & 커뮤니케이션,12,4
이론 & 개념,8,3
