Strategy,Modularity,Num_Communities,Num_Nodes
상위15%_허브제거,0.36513158501095344,8,584
상위10%_허브제거,0.2835588316994881,6,619
상위5%_허브제거,0.20007639286141274,6,653
허브제거+고립제거,0.20007639286141274,6,653
기본,0.11184424449704136,5,688
최소degree2,0.11184424449704136,5,688
하위10%_엣지제거,0.10507487267056544,5,549
