Strategy,Modularity,Num_Communities,Num_Nodes
상위15%_허브제거,0.3438952828717031,9,419
상위10%_허브제거,0.28093212404022555,7,445
상위5%_허브제거,0.2319688163279192,4,470
허브제거+고립제거,0.229679963610972,4,468
하위10%_엣지제거,0.1420191717668017,4,357
최소degree2,0.13777589854091665,4,495
기본,0.13777589854091665,4,495
