기업명,주요업무,자격요건,우대사항
브레인커머스,"• 잡플래닛 서비스 전반의 기술 구조와 코드 품질을 주도적으로 관리·개선• 백엔드 중심으로 직접 설계·개발·리팩토링하며, 개발팀의 기술적 생산성과 협업 효율을 높임• 서비스 전반의 안정성을 책임지고 주도적으로 관리• 서비스 전반(Backend, Frontend, Mobile 등)의 기술적 문제를 정의하고 근본적으로 해결• 비즈니스 및 제품 방향에 맞춰 기술적 우선순위를 수립하고 실행 계획을 주도.","• 개발 경력 총 8년 이상 혹은 그에 준하는 기술적 역량을 보유하신 분• 규모 있는 프로젝트를 처음부터 끝까지 주도적으로 완성해본 경험이 있는 분• 개발 실무에 깊이 관여하면서도 팀의 기술적 방향을 리딩하는 역할에 관심이 있는 분• 프론트엔드·모바일 등 다양한 영역에 관심을 갖고, 서비스 전체의 기술 구조를 보는 시야를 가진 분• 기술적 문제를 직접 파악하고, 근본 원인까지 해결할 수 있는 문제 해결 능력이 있으신 분• 비즈니스 맥락 안에서 기술적 의사결정을 내릴 수 있는 분.","• 스타트업 또는 소규모 개발 조직에서 5년 이상 근무하면서 하나의 서비스를 깊이 있게 성장시킨 경험• 5만 명 이상의 유저를 보유한 서비스를 처음부터 끝까지 개발·운영해본 경험• RESTful API 설계 및 연동 경험이 있으신 분• JavaScript, TypeScript, Python, PHP, Ruby 등 스크립트 언어 경험이 있으신 분• Ruby on Rails 혹은 MVC Framework 기반 서비스 경험 또는 관심이 있으신 분."
브레인커머스,• 서비스 전반의 아키텍처 설계와 성능 병목구간 최적화 주도• 레거시 시스템 분석 및 개선 방향을 제시하고 주도적으로 리팩토링 진행• 장애 발생 시 빠르게 분석 · 공유하고 근본 원인 해결을 주도• 주요 프레임워크 및 라이브러리의 업그레이드/패치 로드맵을 수립하고 실행을 주도• 서비스 운영 안정성과 보안 수준 향상에 대한 전략적 기여.,"• 백엔드 개발 경력 5년 이상이신 분• 안정적인 서비스 운영 경험과 함께 대규모 마이그레이션 또는 아키텍처 개선을 실무적으로 이끈 경험이 있으신 분• 대규모 트래픽 처리 및 시스템 최적화 경험이 있으신 분• AWS, GCP 등 클라우드 아키텍처 이해 및 운영 경험이 있으신 분• CI/CD, 모니터링, 로깅 시스템 구축 / 운영 경험이 있으신 분• 보안 강화 및 데이터 보호 전략 수립 경험이 있으신 분.","• 기술 리더십을 발휘해 팀을 주도한 경험이 있으신 분• 신규 기술 도입 및 버전업 프로젝트 전체를 이끌어 본 경험이 있으신 분• DevOps, MSA, Event-driven Architecture 경험이 있으신 분• 오픈소스 기여 경험이 있으신 분."
엔비티(NBT),다음 도전들을 우리와 함께 하시게 됩니다.• 캐시슬라이드 / 칩스 서비스 기능 요구 사항 파악 및 Planning 참여/개발• 코드 리뷰를 통한 개발 프로세스 지속 개선• 성능 및 확장성을 고려한 시스템 아키텍처 설계 및 구현• 신기술 도입 및 기존 시스템의 효율성 개선• 목적조직에서의 포괄적 문제 해결.,• 백엔드 개발/운영 경험자로서 실무 6년 이상 또는 그에 준하는 역량을 보유하신 분• Spring/Java 혹은 Spring/Kotlin 기반 서버 개발 경험• 비즈니스 로직에 대한 이해를 바탕으로 API와 데이터 모델을 설계할 수 있는 분• 데이터 캐싱 전략 설계 및 구현을 통해 성능을 최적화 경험이 있으신 분• 사용자 니즈와 비즈니스 요구 사항을 만족시켜주는 앱 서비스를 개발/운영 경험이 있으신 분.,• 대용량 데이터와 트래픽을 고려한 시스템 설계 능력이 있으신 분• 클라우드(GCP) 환경 개발 경험이 있으신 분• Ruby on Rails 개발 경험이 있으신 분• 문제 해결 능력과 독립적인 실행 능력이 탁월하신 분• 앱테크 도메인에 대한 이해 및 개발 경험이 있으신 분.
엔비티(NBT),"• 신규 기능 구현을 위한 백엔드 및 인프라 구조 설계• SDK와 통신을 위한 API 설계 및 구현• 매체/써드파티 트래커와 통신을 위한 API 설계 및 구현• 빅데이터 기반 데이터 시각화, 추출 대시보드 개발• 내부 관리자 및 파트너사 리포팅 시스템 개발• 로직/시스템의 모니터링 및 대응• AD 추천 엔진의 효율 및 성능 튜닝• SSP, DSP 등 애드테크의 다양한 기능을 플랫폼화하고 확장• 기능의 최적화를 위한 개선 및 리팩토링.","• 백엔드 개발, 운영 실무 6년 이상 또는 그에 준하는 역량을 보유하신 분• RESTful API에 대한 경험 및 이해도가 있으신 분• 외부 서비스 또는 조직이 제공하는 API를 명세서에 따라 내부 시스템과 연동해 본 경험이 있으신 분• 대용량 트래픽 서비스를 개발 및 운영을 해본 경험이 있으신 분• RDBMS, NoSQL, Redis 등 대용량 데이터를 위한 스토리지 경험이 있으신 분.","• 모바일 광고, 특히 AdTech에 대한 경험이 있으신 분• Ruby on Rails, Spring/Kotlin 기반 서버 개발 경험이 있으신 분• 비즈니스 요구 사항을 만족시켜주는 서비스를 개발 및 운영해 보신 분• 클라우드(AWS, GCP) 환경 개발 경험이 있으신 분• 빠른 실행과 반복적인 개선에 능하신 분."
