기업명,주요업무,자격요건,우대사항
에이치엠이스퀘어,• 비침습 혈당측정을 위한 딥러닝 알고리즘 개발• 센서 신호 데이터의 전처리.,"• 성별, 나이 무관• 인공지능 분야 대학원 전공 또는 인공지능 분야 경력자• 엔지니어, 리더, C-level 모두 채용 고려.",• 인공지능 개발팀을 리딩할 수 있는 역량과 경험을 갖춘 분.
뱅크샐러드,"뱅크샐러드 CISO는 이런 일을 합니다.CTO/CLO와의 긴밀한 협의하에 팀 OKR을 분기별로 계획하고 회고하여, 보안과 사용자 경험 사이에서 최적화된 보안 기술을 끊임없이 고민하고 설계하는 혁신을 리드합니다.고성능 고가용성 서비스의 취약점을 분석하고 적시에 해결합니다. 규제기관의 법률 및 규제를 준수하며, 비용 최적화를 통해 업권에서 인정하는 우수한 인재들과 함께 한 단계 한 단계 성장해나가는 경험을 할 수 있습니다.정보호호 관련 법령/정책 파악 및 유관 기관과의 협업을 통해 필요 서비스 이행에 필요한 요건을 분석하고 유관 규제 요건에 적합한 정보보호 조직을 운영하며 사전 대응을 준비합니다. 필요 구현 기술 및 체계에 대한 기술적/정책적 검토 및 도입과 운영의 책임을 가지고 주도적으로 일하는 자리입니다.ISMS-P 인증 획득을 통한 보안성 강화 및 규제기관의 체크리스트에 대응하고 생산성 향상을 위한 지속적인 노력을 수행합니다. 이 업무를 잘 수행하기 위해서는 보안정책에 대한 폭넓은 이해와 기술현황 및 트렌드에도 민감하여, 언제든지 혁신을 가져올 수 있는 적극적인 자세가 필요합니다.",이런 경험을 지향하시는 분들과 여정을 함께하고 싶어요.정보보호 및 개인정보보호 분야 10년 이상의 유관 경험을 가지신 분이 필요합니다.외부 규제/감사기관 대응 경험이 있어야 합니다.조직 목표 설정 및 팀 운영 경험이 있어야 합니다.사내외 다양한 팀과 협업하여 좋은 성과를 내신 분과 함께하고 싶습니다.고객중심적 사고와 전략적 사고를 바탕으로 한 뛰어난 문제해결능력을 보유하신 분과 함께하고 싶습니다.,"이런 경험을 보유하신 분이라면 더 좋습니다. 대규모 B2C업체에서 정보보호 또는 개인정보보호 업무 경험을 가지신 분이면 더욱 좋습니다.CISSP, CISA, ISMS-P 인증심사원 등 정보보호 관련 자격증을 보유하신 분이면 더욱 좋습니다.CISO, CPO (Chief of Privacy Officer) 업무 경험이 있는 분이면 더욱 좋습니다."
