기업명,주요업무,자격요건,우대사항
엔디에스,그룹사 SAP ERP 시스템 운영/유지보수.,• 학력 : 대졸이상• 경력 : 경력 3년• SAP CO모듈 운영 및 ABAP 개발 경험자• Oracle DB 사용 경험자.,• 원가 회계 업무 개발/운영 경험자 우대.
현대오토에버,"• 모트라스 국내공장 MES 운영/개발(C#,MSSQL)• MES구축 프로젝트 수행.","• MES 프로세스 이해 및 경험자• #필수 기술 해시태그 : MSSQL, C#, JAVA.","• 자동차 부품공장 MES 개발 및 운영관리 경험자• 전산/컴퓨터 관련 학과 졸업자• MES프로젝트 수행 경험자• # 우대 기술 해시태그 : Tibero/MariaDB, PostgreSQL."
현대오토에버,• 현대스틸파이프 SAP ERP 시스템 개발/운영• 고객 요구사항 분석 및 구현 / 운영.,• SAP ERP 구축 또는 운영 경험 (FCM/SCM)• ABAP 개발 2년 중급 이상.,• JAVA Based Web 시스템 개발/운영 경험• Web 시스템 구축 및 운영 경험• 외국어(영어) 회화 역량.
비즈테크아이,ㆍSAP ABAP 개발(주 고객사 LG그룹 계열사)근무지ㆍ서울 (상암).,"ㆍ학력 : 4년제 정규대학 학사학위 이상 보유자ㆍ경력 : 관련업무 3년 이상ㆍSCM, FCM 관계없이 개발 가능한 분ㆍN-ERP 신기술 가능 및 RAP 경험자ㆍ남성의 경우 병역 의무 필 또는 면제ㆍ해외 출장에 결격사유가 없는 분.",ㆍ전모듈 개발 가능자ㆍS/4 HANA 프로젝트 경험자ㆍSAP 인증 자격증 보유.
현대오토에버,• 요건정의 분석• System Process 정의• Application(ABAP) Funtional Design• Application(ABAP) TEST 검증• 타 시스템 Interface 연계 & 관리• 사용자 Service Request ticket 처리 (문의응대)• 시스템 사용자 권한 관리• ERP 연계 웹시스템 운영.,• SAP MM 모듈 이해• ABAP 프로그램 이해.,• 웹시스템 운영 경험• ABAP 프로그램 경험.
딥다이브,"• SAP ERP(S/4HANA Public Edition) 운영 및 유지보수• 시스템 안정성 확보, 보안 및 규제 준수, 성능 최적화 추진• 운영 중 발생하는 시스템 이슈 진단 및 해결• 개발• 개선 요구 사항 분석 및 요건 정의• 신규 비즈니스 도입 및 고도화 관련 시스템 반영 지원• SAP 및 협력사 간 커뮤니케이션 및 일정 조율• 사용자 지원 및 관련 부서 문의 응대.","• SAP ERP 운영 또는 유지보수 경력이 3년 이상이신 분• 주요 모듈(SCM, MM, FI, CO 등) 운영 또는 프로젝트를 직접 수행해보신 분• ERP 시스템 구조와 프로세스 전반을 이해하고 계신 분• 문제 상황을 빠르게 파악하고 해결 방안을 주도적으로 찾아가실 수 있는 분• 협업 부서 및 외부 파트너와 원활하게 커뮤니케이션 하실 수 있는 분.","• SAP 컨설팅사 근무 경력을 보유하신 분• 소비재 업종 내 ERP 시스템 운영 경험이 있으신 분• SCM 또는 Finance 영역의 전문성을 보유하고 계신 분• SAP S/4HANA Public Edition 구축 또는 운영 경험이 있으신 분• SaaS 기반 확장 시스템(PLM, IBP, OMS, VPL 등) 연동 및 고도화 경험이 있으신 분• SAP 관련 자격증(FI, CO, MM, SD, PP, HR, ABAP, Basis, HANA 등)을 보유하고 계신 분• ITIL 기반의 운영 프로세스를 이해하고 계신 분."
아로아랩스,"전체 개발팀(백엔드·프론트엔드·유지보수)을 통합 관리하고 기술 방향성 제시• CTO와 협업하여 기술 로드맵 수립 및 실행 관리• 전체 프로젝트의 아키텍처 설계 및 품질 검증• 개발팀의 코드 품질, 리뷰 프로세스, 배포 파이프라인 관리• 대용량 트래픽(수천 동시 세션 이상) 및 다중 서비스 환경의 안정적 운영 구조 설계• 클라우드(Azure) 기반 서버 관리 및 배포 자동화(GitHub Action, Docker, CICD 등)• 개발팀의 일정·커뮤니케이션·이슈 관리 총괄 (PM/QA 협업 포함).","• 기술적 판단과 조직 내 커뮤니케이션을 균형 있게 수행할 수 있는 리더십• Golang, Node.js, TypeScript 중 하나 이상의 프로덕션 수준 경험• AWS, Azure, GCP 등 클라우드 환경에서 CI/CD 구축 및 운영 경험• DB 성능 최적화 경험 (SQL Server, PostgreSQL, Oracle 등 중 택1 이상)• 코드 리뷰, 배포, 테스트 자동화 문화에 대한 이해.",• 해운·물류·ERP 시스템 경험자• 대규모 트래픽/트랜잭션 시스템 설계 및 운영 경험• B2B SaaS 서비스 운영 또는 리팩토링 경험• MSA(Microservices Architecture) 설계 경험• 주니어 개발자 교육 및 멘토링 경험.
현대오토에버,• SAP ERP BC 모듈 구축/컨버전/업그레이드 프로젝트 수행 및 운영.,• SAP S/4 HANA 또는 ECC 시스템 구축 프로젝트 BC 역할 수행 경험 보유• SAP ERP 솔루션에 대한 이해• 인프라 관련 (네트워크/서버) 관련 지식 보유.,• SITGC 감사 관련 대응 경험• PCE 기반 ERP 운영 경험• 외국어(영어) 회화능력• 문서 작성 스킬• SAP Basis Technical Consulting (TCC) 또는 HANATEC 자격증 소지자• ISP/PI 프로젝트 경험• 해외 ERP 구축 수행 경험 (글로벌 Communication 역량)• 외국어(영어) 회화능력.
현대오토에버,• (아래 영역 중 1개 이상 담당)SAP ERP SCM or FCM 영역 구축 개발SAP ERP 개발 리더SAP 솔루션 기획 및 개발.,• SAP ABAP 개발 역량• SAP SI 프로젝트 경험• ERP 솔루션에 대한 이해.,• SAP S/4 HANA 구현 경험• 개발 리더 경험• 프로젝트 PM 경험• 생성형 AI 경험• 외국어(영어) 회화 능력.
현대오토에버,"• 인터페이스 솔루션/방안 검토 : webMethods, 웹서비스, API 등• 인터페이스 아키텍처 검토 : 인터페이스용 서버 사이징, 아키텍처 구성, 모니터링 방안• 인터페이스 개발 관리 : 인터페이스 모듈 협의 주관, 개발표준 정의/관리, 개발 진도 관리.","• webMethods 솔루션 활용 경험• 솔루션 기반 SAP ERP 인터페이스 연계 경험• EAI/EDI, webMethods, 웹서비스, API 경험.","• ERP 프로젝트 유경험자 우대• 외국어(영어) 회화 능력• ERP, S/4HANA, ABAP, RFC 경험• webMethods EDI 개발 유경험자 우대."
웅진,"SAP Business One 모듈 개발• Visual Studio VB.NET, C#.NET 기반 개발 • SAP HANA 및 Microsoft SQL Database 운영.",• 관련 분야 경력 8년 이상 • 원활한 커뮤니케이션 및 협업 역량 보유.,• SAP Business One 개발 및 운영 경험 보유 • 외국어(영어) 활용 능력 보유 • SAP 관련 자격증 보유.
넷마블,"• 사내 SAP와 연동되는 WEB ERP 개발/운영(웹 기반 회계 시스템 분석, 설계/ 개발 업무 지원)• 신규 Business 도입 및 고도화 지원(시스템 적용 사항 분석 및 설계, 개발 업무)• 중장기 ERP 전략 수립.","• E-Accounting 운영 및 유지보수 5~10년 (재무/회계 관련 시스템 개발 및 운영 경험)• JAVA 기반 웹시스템 개발 및 운영 경험 - Java, Spring framework를 기반한 개발 및 운영 경험 - jsp, mybatis, MSSQL, LINUX 기반 웹시스템 개발 및 운영 - python 개발 및 운영 • SAP I/F 관련 개발 및 운영 경험 - RFC, EAI I/F API 개발• 원활한 커뮤니케이션 능력.","• 전산감사, 내부통제 등의 감사 대응 경력 보유• 회계/재무 결산 업무에 전반적인 이해 및 역량 보유• OS, Network등 인프라 지식 보유."
넥센타이어,• SAP 회계/관리 유지보수 및 개발(한국/해외).,• SAP 개발 및 운영 경력• 경력 8년 이상.,
넥센타이어,• SAP SD(영업) 유지보수 및 개발(한국/해외) • SAP 수출 유지보수 및 개발(한국/해외).,• SAP 개발 및 운영 경력• 주재원 파견 가능자 (미국).,
현대오토에버,• SAP Public Cloud FCM 영역 구축 개발• SAP Public Cloud 운영.,• [필수] SAP Public Cloud 프로젝트 FCM영역 컨설팅 경험 (컨버전 포함)• ERP 솔루션에 대한 이해• SAP 경력 3년이상.,• SAP 관련 자격증 보유• 해외 ERP 구축 수행 경험 (글로벌 Communication 역량)• 외국어(영어) 회화능력.
현대오토에버,"• [글로벌ERP운영실]그룹사 글로벌 법인 SAP 운영 (FI or SD) : 법인 프로세스 개선사항 대응 및 설계 : SAP 개발 Spec 작성 : SAP 개발 사항 테스트 및 배포• [ERP구축컨설팅1, 2팀]그룹사/대외 ERP 시스템 구축(모듈) 컨설팅 : 대상 모듈 - FI, CO, SD, MM, PP프로젝트 관리(PM) 및 ISP/PI 컨설팅.","• [글로벌ERP운영실]SAP FI or SD 모듈 구축 및 운영/유지보수 경험SAP ABAP Language 역량 보유• [ERP구축컨설팅1, 2팀]SAP S/4 HANA 또는 ECC 시스템 구축 프로젝트 수행 경험 or 시스템 운영 경험모듈(FI, CO, SD, MM, PP) 컨설팅 & 개발 경험SAP ERP 경력 5년 이상.","• [글로벌ERP운영실]S/4 HANA 구축 및 운영 경험외국어(영어) 회화 가능자SAP ERP 모듈 자격증 보유투자, 자산, 비용예산 운영 경험 (FI 모듈 限)SAP 수출패키지 운영 경험 (SD 모듈 限) 원산지(FTA) 프로세스 업무 경험 (SD 모듈 限)• [ERP구축컨설팅2팀]PM/PMO/IM(Integration Manager) 수행 경험해외 ERP 구축 수행 경험 (글로벌 Communication 역량)외국어(영어) 회화능력."
현대오토에버,"• 글로벌 ERP 운영프로세스 관리 : SR요청관리,변경 통제, 배포,장애,모니터링 운영 프로세스 고도화• 글로벌 운영 서비스 품질 관리 : SLO/SLA관리, 서비스 REPORT• 글로벌 ERP 운영 거버넌스 : 해외 법인 협의체 운영 및 권역 VOC관리.",• SAP ERP운영/구축 프로젝트 경험• 글로벌 IT 운영 기획 경험• 영어 회화 가능자.,"• ITSM 기반 운영 프로세스 경험• ITO 상품 운영 기획 경험• SAP ERP(재무,물류) 관련 자격증 보유• 프로젝트 추진 계획 및 제안 작업 경험."
현대오토에버,• HR의 SuccessFactors Employee Central 운영• HR의 SuccessFactors Performance Management 운영• SAP ERP와 SuccessFactors Integration 설계 및 개발• 운영 세부 과제 관리 및 적용 일정 등 로드맵 관리.,"• SuccessFactors 모듈 구축 및 운영 경험• ERP와 SuccessFactors 연계 경험 (BIB, API 등 활용)• HR 업무 관련 지식 및 운영/구축 프로젝트 경험.","• 영어 회화 가능자• 프로젝트 추진 계획 및 제안 작업 경험• 3rd party 솔루션 연계 경험(linkedIn, Teams, docusign, ADP 등)."
넷마블,"• 넷마블컴퍼니 SAP 시스템 개발 및 운영• 넷마블컴퍼니 신규 Business 도입 및 고도화 지원 (시스템 적용 사항 분석 및 설계, 개발 업무)• 넷마블컴퍼니 중장기 ERP 전략 수립.","• 학사 이상• SAP FI/TR 모듈 운영 최소 5년 이상• FI/TR Configuration 경험 보유 • FI/TR 신규 업무 프로세스 수립 SAP 연계솔루션 관리 (E-Accounting / Smartbil / 펌뱅킹 등)• SAP ABAP 개발 경력 보유• 전산감사, 내부통제 대응 경험 보유• SAP I/F 관련 개발 및 운영 경험 'RFC, EAI I/F API 개발• 원활한 커뮤니케이션 능력 보유.",• SAP S/4 HANA 또는 CLOUD 시스템 운영 경험• CO 운영 및 유지보수 • SAP 관련 자격증 보유 • 회계/재무 결산 업무에 전반적인 이해 및 역량 보유.
