Skill,Weighted_Degree
Python,4872.0
AI,4179.0
AWS,3252.0
SQL,2891.0
Kubernetes,2559.0
Docker,2472.0
LLM,2445.0
GCP,2385.0
ML,2139.0
Airflow,2070.0
