Strategy,Modularity,Num_Communities,Num_Nodes
상위15%_허브제거,0.2961928328164094,6,618
상위10%_허브제거,0.24289944417735002,6,655
상위5%_허브제거,0.17116818513671964,6,691
허브제거+고립제거,0.17116818513671964,6,691
기본,0.0995039738626008,6,728
최소degree2,0.0995039738626008,6,728
하위10%_엣지제거,0.09910529075196353,5,617
